lsoa_cd,lsoa_nm,lsoa_kmsq,canopy_kmsq,canopy_per,la_cd,la_nm
E01000001,City of London 001A,129865,7498.801,5.774,E09000001,City of London
E01000002,City of London 001B,228419,4041.803,1.769,E09000001,City of London
E01000003,City of London 001C,59054,5220.931,8.841,E09000001,City of London
E01000005,City of London 001E,189577,4514.3,2.381,E09000001,City of London
E01000006,Barking and Dagenham 016A,146537,21777.632,14.862,E09000002,Barking and Dagenham
E01000007,Barking and Dagenham 015A,200094,21571.954,10.781,E09000002,Barking and Dagenham
E01000008,Barking and Dagenham 015B,216902,54304.12,25.036,E09000002,Barking and Dagenham
E01000009,Barking and Dagenham 016B,127962,20063.935,15.68,E09000002,Barking and Dagenham
E01000010,Barking and Dagenham 015C,352068,33848.77,9.614,E09000002,Barking and Dagenham
E01000011,Barking and Dagenham 016C,91630.6,27376.213,29.877,E09000002,Barking and Dagenham
E01000012,Barking and Dagenham 015D,143774,24072.722,16.743,E09000002,Barking and Dagenham
E01000013,Barking and Dagenham 013A,207830,43785.807,21.068,E09000002,Barking and Dagenham
E01000014,Barking and Dagenham 013B,341220,55553.091,16.281,E09000002,Barking and Dagenham
E01000015,Barking and Dagenham 009A,280628,69253.634,24.678,E09000002,Barking and Dagenham
E01000016,Barking and Dagenham 009B,198778,24794.486,12.473,E09000002,Barking and Dagenham
E01000017,Barking and Dagenham 009C,158369,35320.134,22.302,E09000002,Barking and Dagenham
E01000018,Barking and Dagenham 009D,173981,38544.065,22.154,E09000002,Barking and Dagenham
E01000019,Barking and Dagenham 023A,183866,37842.974,20.582,E09000002,Barking and Dagenham
E01000020,Barking and Dagenham 023B,187236,41440.446,22.133,E09000002,Barking and Dagenham
E01000021,Barking and Dagenham 008A,169363,36996.202,21.844,E09000002,Barking and Dagenham
E01000022,Barking and Dagenham 008B,128262,24100.28,18.79,E09000002,Barking and Dagenham
E01000023,Barking and Dagenham 008C,207296,36742.082,17.724,E09000002,Barking and Dagenham
E01000024,Barking and Dagenham 008D,128640,28498.612,22.154,E09000002,Barking and Dagenham
E01000025,Barking and Dagenham 008E,153350,27622.749,18.013,E09000002,Barking and Dagenham
E01000027,Barking and Dagenham 001A,1474530,180019.573,12.209,E09000002,Barking and Dagenham
E01000028,Barking and Dagenham 001B,143894,14169.053,9.847,E09000002,Barking and Dagenham
E01000029,Barking and Dagenham 001C,256877,35118.242,13.671,E09000002,Barking and Dagenham
E01000030,Barking and Dagenham 001D,286266,49730.34,17.372,E09000002,Barking and Dagenham
E01000031,Barking and Dagenham 002A,843423,63021.602,7.472,E09000002,Barking and Dagenham
E01000032,Barking and Dagenham 002B,375434,66127.614,17.614,E09000002,Barking and Dagenham
E01000033,Barking and Dagenham 006A,145321,30884.435,21.253,E09000002,Barking and Dagenham
E01000034,Barking and Dagenham 003A,513672,152816.321,29.75,E09000002,Barking and Dagenham
E01000035,Barking and Dagenham 010A,397163,46971.973,11.827,E09000002,Barking and Dagenham
E01000036,Barking and Dagenham 010B,418689,59647.539,14.246,E09000002,Barking and Dagenham
E01000037,Barking and Dagenham 003B,233432,69246.293,29.664,E09000002,Barking and Dagenham
E01000038,Barking and Dagenham 003C,214043,44369.391,20.729,E09000002,Barking and Dagenham
